Invoice ID,Branch,City,Customer type,Gender,Product line, Unit price ,Quantity, cogs ,Tax 5%, Total ,Date,Time,Payment,gross margin percentage,gross income,Rating,,,,,,,,
640-49-2076,Bodija,Ibadan,Normal,Male,Sports and travel, ?83.78 ,8, ?670.24 ,33.512, ?703.75 ,1/10/2019,14:49,Cash,4.761904762,33.512,5.1,,,,,,,,
241-11-2261,Bodija,Ibadan,Normal,Female,Fashion accessories, ?79.86 ,7, ?559.02 ,27.951, ?586.97 ,1/10/2019,10:33,Credit card,4.761904762,27.951,5.5,,customer type,,,,,,
887-42-0517,Lekki,Lagos,Normal,Female,Sports and travel, ?83.14 ,7, ?581.98 ,29.099, ?611.08 ,1/10/2019,10:31,Credit card,4.761904762,29.099,6.6,,cash,78,,,,,
406-46-7107,Central Area,Abuja,Normal,Female,Home and lifestyle, ?96.52 ,6, ?579.12 ,28.956, ?608.08 ,1/11/2019,11:52,Cash,4.761904762,28.956,4.5,,credit card,74,,,,,
704-48-3927,Central Area,Abuja,Member,Male,Electronic accessories, ?88.67 ,10, ?886.70 ,44.335, ?931.04 ,1/12/2019,14:50,Ewallet,4.761904762,44.335,7.3,,ewallet,75,,,,,
852-62-7105,Bodija,Ibadan,Normal,Female,Fashion accessories, ?83.25 ,10, ?832.50 ,41.625, ?874.13 ,1/12/2019,11:25,Credit card,4.761904762,41.625,4.4,,,,,,,,
751-41-9720,Lekki,Lagos,Normal,Male,Home and lifestyle, ?97.50 ,10, ?975.00 ,48.75," ?1,023.75 ",1/12/2019,16:18,Ewallet,4.761904762,48.75,8,,rating,,,,,,
197-77-7132,Bodija,Ibadan,Member,Male,Electronic accessories, ?91.56 ,8, ?732.48 ,36.624, ?769.10 ,1/12/2019,18:22,Ewallet,4.761904762,36.624,6,,68.60352423,,,,,,
785-13-7708,Bodija,Ibadan,Normal,Male,Food and beverages, ?73.06 ,7, ?511.42 ,25.571, ?536.99 ,1/14/2019,19:06,Credit card,4.761904762,25.571,4.2,,,,,,,,
667-23-5919,Central Area,Abuja,Member,Female,Fashion accessories, ?96.70 ,5, ?483.50 ,24.175, ?507.68 ,1/14/2019,12:52,Ewallet,4.761904762,24.175,7,,Gross income,,,,,,
868-52-7573,Bodija,Ibadan,Normal,Female,Food and beverages, ?99.69 ,5, ?498.45 ,24.9225, ?523.37 ,1/14/2019,12:09,Cash,4.761904762,24.9225,9.9,,7597.8395,,,,,,
588-47-8641,Central Area,Abuja,Member,Male,Fashion accessories, ?56.04 ,10, ?560.40 ,28.02, ?588.42 ,1/14/2019,19:30,Ewallet,4.761904762,28.02,4.4,,,,,,,,
299-46-1805,Bodija,Ibadan,Member,Female,Sports and travel, ?93.72 ,6, ?562.32 ,28.116, ?590.44 ,1/15/2019,16:19,Cash,4.761904762,28.116,4.5,,,,,,,,
272-65-1806,Central Area,Abuja,Normal,Female,Electronic accessories, ?60.88 ,9, ?547.92 ,27.396, ?575.32 ,1/15/2019,17:17,Ewallet,4.761904762,27.396,4.7,,,,,,,,
138-17-5109,Central Area,Abuja,Member,Female,Home and lifestyle, ?89.21 ,9, ?802.89 ,40.1445, ?843.03 ,1/15/2019,15:42,Credit card,4.761904762,40.1445,6.5,,,,,,,,
188-55-0967,Bodija,Ibadan,Member,Male,Health and beauty, ?66.47 ,10, ?664.70 ,33.235, ?697.94 ,1/15/2019,15:01,Credit card,4.761904762,33.235,5,,,,,,,,
314-23-4520,Lekki,Lagos,Member,Male,Health and beauty, ?81.23 ,7, ?568.61 ,28.4305, ?597.04 ,1/15/2019,20:44,Cash,4.761904762,28.4305,9,,,,,,,,
744-16-7898,Bodija,Ibadan,Normal,Female,Home and lifestyle, ?97.37 ,10, ?973.70 ,48.685," ?1,022.39 ",1/15/2019,13:48,Credit card,4.761904762,48.685,4.9,,,,,,,,
660-29-7083,Lekki,Lagos,Normal,Male,Electronic accessories, ?55.87 ,10, ?558.70 ,27.935, ?586.64 ,1/15/2019,15:01,Cash,4.761904762,27.935,5.8,,,,,,,,
234-65-2137,Lekki,Lagos,Normal,Male,Home and lifestyle, ?95.58 ,10, ?955.80 ,47.79," ?1,003.59 ",1/16/2019,13:32,Cash,4.761904762,47.79,4.8,,,,,,,,
677-11-0152,Lekki,Lagos,Normal,Female,Food and beverages, ?93.26 ,9, ?839.34 ,41.967, ?881.31 ,1/16/2019,18:08,Cash,4.761904762,41.967,8.8,,,,,,,,
347-72-6115,Bodija,Ibadan,Member,Female,Sports and travel, ?90.74 ,7, ?635.18 ,31.759, ?666.94 ,1/16/2019,18:03,Credit card,4.761904762,31.759,6.2,,,,,,,,
648-83-1321,Central Area,Abuja,Member,Male,Home and lifestyle, ?63.56 ,10, ?635.60 ,31.78, ?667.38 ,1/16/2019,17:59,Cash,4.761904762,31.78,4.3,,,,,,,,
698-98-5964,Central Area,Abuja,Normal,Female,Food and beverages, ?81.21 ,10, ?812.10 ,40.605, ?852.71 ,1/17/2019,13:01,Credit card,4.761904762,40.605,6.3,,,,,,,,
670-79-6321,Bodija,Ibadan,Member,Female,Home and lifestyle, ?94.59 ,7, ?662.13 ,33.1065, ?695.24 ,1/17/2019,15:27,Credit card,4.761904762,33.1065,4.9,,,,,,,,
678-79-0726,Lekki,Lagos,Member,Female,Sports and travel, ?90.63 ,9, ?815.67 ,40.7835, ?856.45 ,1/18/2019,15:28,Cash,4.761904762,40.7835,5.1,,,,,,,,
166-19-2553,Central Area,Abuja,Member,Male,Sports and travel, ?89.06 ,6, ?534.36 ,26.718, ?561.08 ,1/18/2019,17:26,Cash,4.761904762,26.718,9.9,,,,,,,,
645-44-1170,Central Area,Abuja,Member,Male,Home and lifestyle, ?58.07 ,9, ?522.63 ,26.1315, ?548.76 ,1/19/2019,20:07,Ewallet,4.761904762,26.1315,4.3,,,,,,,,
149-61-1929,Central Area,Abuja,Normal,Male,Sports and travel, ?64.19 ,10, ?641.90 ,32.095, ?674.00 ,1/19/2019,14:08,Credit card,4.761904762,32.095,6.7,,,,,,,,
125-45-2293,Central Area,Abuja,Normal,Female,Fashion accessories, ?99.10 ,6, ?594.60 ,29.73, ?624.33 ,1/19/2019,13:11,Cash,4.761904762,29.73,4.2,,,,,,,,
817-48-8732,Central Area,Abuja,Member,Female,Home and lifestyle, ?72.35 ,10, ?723.50 ,36.175, ?759.68 ,1/20/2019,15:55,Cash,4.761904762,36.175,5.4,,,,,,,,
725-96-3778,Lekki,Lagos,Member,Female,Home and lifestyle, ?89.25 ,8, ?714.00 ,35.7, ?749.70 ,1/20/2019,10:13,Cash,4.761904762,35.7,4.7,,,,,,,,
410-67-1709,Central Area,Abuja,Member,Female,Fashion accessories, ?63.88 ,8, ?511.04 ,25.552, ?536.59 ,1/20/2019,17:48,Ewallet,4.761904762,25.552,9.9,,,,,,,,
870-72-4431,Lekki,Lagos,Normal,Female,Health and beauty, ?99.19 ,6, ?595.14 ,29.757, ?624.90 ,1/21/2019,14:42,Credit card,4.761904762,29.757,5.5,,,,,,,,
287-21-9091,Central Area,Abuja,Normal,Male,Home and lifestyle, ?74.67 ,9, ?672.03 ,33.6015, ?705.63 ,1/22/2019,10:55,Ewallet,4.761904762,33.6015,9.4,,,,,,,,
731-81-9469,Lekki,Lagos,Member,Female,Sports and travel, ?89.80 ,10, ?898.00 ,44.9, ?942.90 ,1/23/2019,13:00,Credit card,4.761904762,44.9,5.4,,,,,,,,
767-05-1286,Lekki,Lagos,Member,Female,Home and lifestyle, ?83.77 ,6, ?502.62 ,25.131, ?527.75 ,1/23/2019,12:10,Ewallet,4.761904762,25.131,5.4,,,,,,,,
828-46-6863,Central Area,Abuja,Member,Male,Food and beverages, ?98.53 ,6, ?591.18 ,29.559, ?620.74 ,1/23/2019,11:22,Credit card,4.761904762,29.559,4,,,,,,,,
160-22-2687,Central Area,Abuja,Member,Female,Health and beauty, ?95.95 ,5, ?479.75 ,23.9875, ?503.74 ,1/23/2019,14:21,Ewallet,4.761904762,23.9875,8.8,,,,,,,,
148-41-7930,Lekki,Lagos,Normal,Male,Health and beauty, ?99.96 ,7, ?699.72 ,34.986, ?734.71 ,1/23/2019,10:33,Cash,4.761904762,34.986,6.1,,,,,,,,
232-11-3025,Central Area,Abuja,Normal,Male,Sports and travel, ?78.77 ,10, ?787.70 ,39.385, ?827.09 ,1/24/2019,10:04,Cash,4.761904762,39.385,6.4,,,,,,,,
435-13-4908,Central Area,Abuja,Member,Male,Fashion accessories, ?86.68 ,8, ?693.44 ,34.672, ?728.11 ,1/24/2019,18:04,Credit card,4.761904762,34.672,7.2,,,,,,,,
438-23-1242,Bodija,Ibadan,Normal,Male,Electronic accessories, ?75.88 ,7, ?531.16 ,26.558, ?557.72 ,1/24/2019,10:38,Ewallet,4.761904762,26.558,8.9,,,,,,,,
602-16-6955,Bodija,Ibadan,Normal,Female,Sports and travel, ?76.60 ,10, ?766.00 ,38.3, ?804.30 ,1/24/2019,18:10,Ewallet,4.761904762,38.3,6,,,,,,,,
280-17-4359,Lekki,Lagos,Member,Male,Health and beauty, ?90.50 ,10, ?905.00 ,45.25, ?950.25 ,1/25/2019,13:48,Cash,4.761904762,45.25,8.1,,,,,,,,
394-55-6384,Lekki,Lagos,Member,Female,Sports and travel, ?70.19 ,9, ?631.71 ,31.5855, ?663.30 ,1/25/2019,13:38,Cash,4.761904762,31.5855,6.7,,,,,,,,
836-82-5858,Bodija,Ibadan,Member,Male,Health and beauty, ?69.37 ,9, ?624.33 ,31.2165, ?655.55 ,1/26/2019,19:14,Ewallet,4.761904762,31.2165,4,,,,,,,,
452-04-8808,Bodija,Ibadan,Normal,Male,Electronic accessories, ?87.08 ,7, ?609.56 ,30.478, ?640.04 ,1/26/2019,15:17,Cash,4.761904762,30.478,5.5,,,,,,,,
394-41-0748,Lekki,Lagos,Member,Female,Fashion accessories, ?54.07 ,9, ?486.63 ,24.3315, ?510.96 ,1/27/2019,14:55,Ewallet,4.761904762,24.3315,9.5,,,,,,,,
862-59-8517,Lekki,Lagos,Normal,Female,Food and beverages, ?90.24 ,6, ?541.44 ,27.072, ?568.51 ,1/27/2019,11:17,Cash,4.761904762,27.072,6.2,,,,,,,,
534-01-4457,Central Area,Abuja,Normal,Male,Food and beverages, ?81.71 ,6, ?490.26 ,24.513, ?514.77 ,1/27/2019,14:36,Credit card,4.761904762,24.513,8,,,,,,,,
624-01-8356,Bodija,Ibadan,Normal,Female,Home and lifestyle, ?49.01 ,10, ?490.10 ,24.505, ?514.61 ,1/27/2019,10:44,Credit card,4.761904762,24.505,4.2,,,,,,,,
149-71-6266,Bodija,Ibadan,Member,Male,Sports and travel, ?78.07 ,9, ?702.63 ,35.1315, ?737.76 ,1/28/2019,12:43,Cash,4.761904762,35.1315,4.5,,,,,,,,
400-89-4171,Lekki,Lagos,Normal,Female,Sports and travel, ?80.97 ,8, ?647.76 ,32.388, ?680.15 ,1/28/2019,13:05,Cash,4.761904762,32.388,9.3,,,,,,,,
222-42-0244,Bodija,Ibadan,Member,Female,Health and beauty, ?72.11 ,9, ?648.99 ,32.4495, ?681.44 ,1/28/2019,13:53,Credit card,4.761904762,32.4495,7.7,,,,,,,,
699-88-1972,Bodija,Ibadan,Normal,Male,Health and beauty, ?99.16 ,8, ?793.28 ,39.664, ?832.94 ,1/28/2019,17:47,Credit card,4.761904762,39.664,4.2,,,,,,,,
430-53-4718,Bodija,Ibadan,Member,Male,Health and beauty, ?75.37 ,8, ?602.96 ,30.148, ?633.11 ,1/28/2019,15:46,Credit card,4.761904762,30.148,8.4,,,,,,,,
746-94-0204,Central Area,Abuja,Normal,Male,Fashion accessories, ?83.24 ,9, ?749.16 ,37.458, ?786.62 ,1/29/2019,11:56,Credit card,4.761904762,37.458,7.4,,,,,,,,
862-17-9201,Bodija,Ibadan,Normal,Female,Food and beverages, ?84.05 ,6, ?504.30 ,25.215, ?529.52 ,1/29/2019,10:48,Credit card,4.761904762,25.215,7.7,,,,,,,,
137-63-5492,Lekki,Lagos,Normal,Male,Electronic accessories, ?58.76 ,10, ?587.60 ,29.38, ?616.98 ,1/29/2019,14:26,Ewallet,4.761904762,29.38,9,,,,,,,,
416-13-5917,Lekki,Lagos,Normal,Female,Food and beverages, ?97.03 ,5, ?485.15 ,24.2575, ?509.41 ,1/30/2019,16:24,Ewallet,4.761904762,24.2575,9.3,,,,,,,,
283-26-5248,Lekki,Lagos,Member,Female,Food and beverages, ?98.52 ,10, ?985.20 ,49.26," ?1,034.46 ",1/30/2019,20:23,Ewallet,4.761904762,49.26,4.5,,,,,,,,
532-59-7201,Bodija,Ibadan,Member,Male,Sports and travel, ?79.93 ,6, ?479.58 ,23.979, ?503.56 ,1/31/2019,14:04,Cash,4.761904762,23.979,5.5,,,,,,,,
735-32-9839,Lekki,Lagos,Member,Male,Fashion accessories, ?98.70 ,8, ?789.60 ,39.48, ?829.08 ,1/31/2019,10:36,Ewallet,4.761904762,39.48,8.5,,,,,,,,
525-09-8450,Bodija,Ibadan,Normal,Male,Electronic accessories, ?72.13 ,10, ?721.30 ,36.065, ?757.37 ,1/31/2019,15:12,Credit card,4.761904762,36.065,4.2,,,,,,,,
457-94-0464,Bodija,Ibadan,Member,Male,Electronic accessories, ?87.87 ,9, ?790.83 ,39.5415, ?830.37 ,1/31/2019,20:32,Ewallet,4.761904762,39.5415,5.6,,,,,,,,
189-55-2313,Lekki,Lagos,Normal,Female,Fashion accessories, ?62.18 ,10, ?621.80 ,31.09, ?652.89 ,1/31/2019,10:33,Ewallet,4.761904762,31.09,6,,,,,,,,
237-01-6122,Lekki,Lagos,Member,Female,Home and lifestyle, ?80.79 ,9, ?727.11 ,36.3555, ?763.47 ,2/1/2019,20:31,Credit card,4.761904762,36.3555,9.5,,,,,,,,
105-31-1824,Central Area,Abuja,Member,Male,Sports and travel, ?69.52 ,7, ?486.64 ,24.332, ?510.97 ,2/1/2019,15:10,Credit card,4.761904762,24.332,8.5,,,,,,,,
358-88-9262,Lekki,Lagos,Member,Female,Food and beverages, ?87.48 ,6, ?524.88 ,26.244, ?551.12 ,2/1/2019,18:43,Ewallet,4.761904762,26.244,5.1,,,,,,,,
376-02-8238,Bodija,Ibadan,Normal,Male,Home and lifestyle, ?93.87 ,8, ?750.96 ,37.548, ?788.51 ,2/2/2019,18:42,Credit card,4.761904762,37.548,8.3,,,,,,,,
541-08-3113,Lekki,Lagos,Normal,Male,Food and beverages, ?65.97 ,8, ?527.76 ,26.388, ?554.15 ,2/2/2019,20:29,Cash,4.761904762,26.388,8.4,,,,,,,,
326-78-5178,Lekki,Lagos,Member,Male,Food and beverages, ?91.40 ,7, ?639.80 ,31.99, ?671.79 ,2/3/2019,10:19,Cash,4.761904762,31.99,9.5,,,,,,,,
347-34-2234,Bodija,Ibadan,Member,Female,Sports and travel, ?55.07 ,9, ?495.63 ,24.7815, ?520.41 ,2/3/2019,13:40,Ewallet,4.761904762,24.7815,10,,,,,,,,
430-60-3493,Central Area,Abuja,Member,Female,Home and lifestyle, ?94.88 ,7, ?664.16 ,33.208, ?697.37 ,2/3/2019,14:38,Cash,4.761904762,33.208,4.2,,,,,,,,
718-57-9773,Lekki,Lagos,Normal,Female,Sports and travel, ?49.33 ,10, ?493.30 ,24.665, ?517.97 ,2/3/2019,16:40,Credit card,4.761904762,24.665,9.4,,,,,,,,
443-59-0061,Central Area,Abuja,Member,Male,Food and beverages, ?67.45 ,10, ?674.50 ,33.725, ?708.23 ,2/3/2019,11:25,Ewallet,4.761904762,33.725,4.2,,,,,,,,
742-04-5161,Central Area,Abuja,Member,Male,Home and lifestyle, ?72.78 ,10, ?727.80 ,36.39, ?764.19 ,2/3/2019,17:24,Cash,4.761904762,36.39,7.3,,,,,,,,
627-95-3243,Bodija,Ibadan,Member,Female,Home and lifestyle, ?77.68 ,9, ?699.12 ,34.956, ?734.08 ,2/4/2019,13:21,Ewallet,4.761904762,34.956,9.8,,,,,,,,
404-91-5964,Central Area,Abuja,Normal,Male,Electronic accessories, ?74.58 ,7, ?522.06 ,26.103, ?548.16 ,2/4/2019,16:09,Credit card,4.761904762,26.103,9,,,,,,,,
338-65-2210,Lekki,Lagos,Member,Female,Health and beauty, ?68.60 ,10, ?686.00 ,34.3, ?720.30 ,2/5/2019,19:57,Cash,4.761904762,34.3,9.1,,,,,,,,
210-57-1719,Bodija,Ibadan,Normal,Female,Health and beauty, ?58.24 ,9, ?524.16 ,26.208, ?550.37 ,2/5/2019,12:34,Cash,4.761904762,26.208,9.7,,,,,,,,
635-40-6220,Central Area,Abuja,Normal,Male,Health and beauty, ?89.60 ,8, ?716.80 ,35.84, ?752.64 ,2/7/2019,11:28,Ewallet,4.761904762,35.84,6.6,,,,,,,,
533-33-5337,Bodija,Ibadan,Normal,Male,Electronic accessories, ?79.39 ,10, ?793.90 ,39.695, ?833.60 ,2/7/2019,20:24,Cash,4.761904762,39.695,6.2,,,,,,,,
827-44-5872,Bodija,Ibadan,Member,Female,Food and beverages, ?54.36 ,10, ?543.60 ,27.18, ?570.78 ,2/7/2019,11:28,Credit card,4.761904762,27.18,6.1,,,,,,,,
648-94-3045,Lekki,Lagos,Normal,Male,Health and beauty, ?58.95 ,10, ?589.50 ,29.475, ?618.98 ,2/7/2019,14:27,Ewallet,4.761904762,29.475,8.1,,,,,,,,
626-43-7888,Lekki,Lagos,Normal,Female,Fashion accessories, ?60.41 ,8, ?483.28 ,24.164, ?507.44 ,2/7/2019,12:23,Ewallet,4.761904762,24.164,9.6,,,,,,,,
453-33-6436,Central Area,Abuja,Normal,Female,Home and lifestyle, ?93.12 ,8, ?744.96 ,37.248, ?782.21 ,2/7/2019,10:09,Cash,4.761904762,37.248,6.8,,,,,,,,
373-73-7910,Central Area,Abuja,Normal,Male,Sports and travel, ?86.31 ,7, ?604.17 ,30.2085, ?634.38 ,2/8/2019,10:37,Ewallet,4.761904762,30.2085,5.3,,,,,,,,
549-84-7482,Bodija,Ibadan,Normal,Female,Sports and travel, ?90.28 ,9, ?812.52 ,40.626, ?853.15 ,2/8/2019,11:15,Ewallet,4.761904762,40.626,7.2,,,,,,,,
687-47-8271,Central Area,Abuja,Normal,Male,Fashion accessories, ?98.98 ,10, ?989.80 ,49.49," ?1,039.29 ",2/8/2019,16:20,Credit card,4.761904762,49.49,8.7,,,,,,,,
271-88-8734,Lekki,Lagos,Member,Female,Fashion accessories, ?97.21 ,10, ?972.10 ,48.605," ?1,020.71 ",2/8/2019,13:00,Credit card,4.761904762,48.605,8.7,,,,,,,,
450-42-3339,Lekki,Lagos,Normal,Male,Health and beauty, ?84.61 ,10, ?846.10 ,42.305, ?888.41 ,2/9/2019,18:58,Credit card,4.761904762,42.305,8.8,,,,,,,,
227-07-4446,Lekki,Lagos,Member,Female,Electronic accessories, ?78.13 ,10, ?781.30 ,39.065, ?820.37 ,2/10/2019,20:51,Cash,4.761904762,39.065,4.4,,,,,,,,
196-01-2849,Lekki,Lagos,Member,Female,Fashion accessories, ?73.38 ,7, ?513.66 ,25.683, ?539.34 ,2/10/2019,13:56,Cash,4.761904762,25.683,9.5,,,,,,,,
796-12-2025,Lekki,Lagos,Normal,Male,Fashion accessories, ?62.12 ,10, ?621.20 ,31.06, ?652.26 ,2/11/2019,16:19,Cash,4.761904762,31.06,5.9,,,,,,,,
418-02-5978,Bodija,Ibadan,Normal,Female,Health and beauty, ?84.09 ,9, ?756.81 ,37.8405, ?794.65 ,2/11/2019,10:54,Cash,4.761904762,37.8405,8,,,,,,,,
866-99-7614,Lekki,Lagos,Normal,Male,Food and beverages, ?89.20 ,10, ?892.00 ,44.6, ?936.60 ,2/11/2019,15:42,Credit card,4.761904762,44.6,4.4,,,,,,,,
842-40-8179,Bodija,Ibadan,Member,Female,Food and beverages, ?77.20 ,10, ?772.00 ,38.6, ?810.60 ,2/11/2019,10:38,Credit card,4.761904762,38.6,5.6,,,,,,,,
549-03-9315,Bodija,Ibadan,Normal,Male,Fashion accessories, ?94.87 ,8, ?758.96 ,37.948, ?796.91 ,2/12/2019,12:58,Ewallet,4.761904762,37.948,8.7,,,,,,,,
305-18-3552,Bodija,Ibadan,Member,Male,Home and lifestyle, ?60.38 ,10, ?603.80 ,30.19, ?633.99 ,2/12/2019,16:19,Cash,4.761904762,30.19,6,,,,,,,,
641-51-2661,Lekki,Lagos,Member,Female,Food and beverages, ?87.10 ,10, ?871.00 ,43.55, ?914.55 ,2/12/2019,14:45,Credit card,4.761904762,43.55,9.9,,,,,,,,
638-60-7125,Central Area,Abuja,Normal,Female,Electronic accessories, ?99.56 ,8, ?796.48 ,39.824, ?836.30 ,2/14/2019,17:03,Credit card,4.761904762,39.824,5.2,,,,,,,,
227-78-1148,Bodija,Ibadan,Normal,Female,Fashion accessories, ?72.84 ,7, ?509.88 ,25.494, ?535.37 ,2/15/2019,12:44,Cash,4.761904762,25.494,8.4,,,,,,,,
136-08-6195,Central Area,Abuja,Normal,Female,Home and lifestyle, ?69.96 ,8, ?559.68 ,27.984, ?587.66 ,2/15/2019,17:01,Credit card,4.761904762,27.984,6.4,,,,,,,,
873-95-4984,Bodija,Ibadan,Member,Female,Health and beauty, ?76.90 ,7, ?538.30 ,26.915, ?565.22 ,2/15/2019,20:21,Cash,4.761904762,26.915,7.7,,,,,,,,
860-79-0874,Lekki,Lagos,Member,Female,Fashion accessories, ?99.30 ,10, ?993.00 ,49.65," ?1,042.65 ",2/15/2019,14:53,Credit card,4.761904762,49.65,6.6,,,,,,,,
710-46-4433,Bodija,Ibadan,Member,Female,Food and beverages, ?77.40 ,9, ?696.60 ,34.83, ?731.43 ,2/15/2019,14:15,Credit card,4.761904762,34.83,4.5,,,,,,,,
431-66-2305,Bodija,Ibadan,Normal,Female,Electronic accessories, ?88.25 ,9, ?794.25 ,39.7125, ?833.96 ,2/15/2019,20:51,Credit card,4.761904762,39.7125,7.6,,,,,,,,
241-72-9525,Bodija,Ibadan,Normal,Male,Sports and travel, ?51.91 ,10, ?519.10 ,25.955, ?545.06 ,2/16/2019,12:21,Cash,4.761904762,25.955,8.2,,,,,,,,
587-03-7455,Lekki,Lagos,Member,Female,Fashion accessories, ?97.79 ,7, ?684.53 ,34.2265, ?718.76 ,2/16/2019,17:30,Ewallet,4.761904762,34.2265,4.9,,,,,,,,
590-83-4591,Bodija,Ibadan,Member,Male,Electronic accessories, ?87.45 ,6, ?524.70 ,26.235, ?550.94 ,2/17/2019,14:40,Credit card,4.761904762,26.235,8.8,,,,,,,,
803-17-8013,Central Area,Abuja,Member,Female,Home and lifestyle, ?88.79 ,8, ?710.32 ,35.516, ?745.84 ,2/17/2019,17:09,Cash,4.761904762,35.516,4.1,,,,,,,,
612-36-5536,Central Area,Abuja,Member,Male,Food and beverages, ?80.96 ,8, ?647.68 ,32.384, ?680.06 ,2/17/2019,11:12,Credit card,4.761904762,32.384,7.4,,,,,,,,
827-77-7633,Central Area,Abuja,Normal,Male,Sports and travel, ?98.09 ,9, ?882.81 ,44.1405, ?926.95 ,2/17/2019,19:41,Cash,4.761904762,44.1405,9.3,,,,,,,,
849-09-3807,Central Area,Abuja,Member,Female,Fashion accessories, ?88.34 ,7, ?618.38 ,30.919, ?649.30 ,2/18/2019,13:28,Cash,4.761904762,30.919,6.6,,,,,,,,
868-06-0466,Central Area,Abuja,Member,Male,Electronic accessories, ?69.58 ,9, ?626.22 ,31.311, ?657.53 ,2/19/2019,19:38,Credit card,4.761904762,31.311,7.8,,,,,,,,
183-21-3799,Lekki,Lagos,Normal,Female,Electronic accessories, ?77.63 ,9, ?698.67 ,34.9335, ?733.60 ,2/19/2019,15:14,Ewallet,4.761904762,34.9335,7.2,,,,,,,,
886-77-9084,Lekki,Lagos,Normal,Male,Electronic accessories, ?71.89 ,8, ?575.12 ,28.756, ?603.88 ,2/19/2019,11:33,Ewallet,4.761904762,28.756,5.5,,,,,,,,
